ID;NOME;E-MAIL;CPF/CNPJ;TIPO
1;MARIA SILVA;igormartins337@gmail.com;28765101030;PESSOA_FISICA
2;GUSTAVO LEAL;gustavoleal@gmail.com;47193770845;PESSOA_FISICA
3;LUCAS MASTELINI;lucasmastelini@gmail.com;43014395870;PESSOA_FISICA
4;FABIO GOMES;fabiogomes@gmail.com;47193770845;PESSOA_FISICA
5;MATHEUS NASCIMENTO;matheusnascimento@gmail.com;47193770845;PESSOA_FISICA
6;GUILHERME PEREIRA;guilhermepereira@gmail.com;47193770845;PESSOA_FISICA
7;BRENDA;brenda@gmail.com;47193770845;PESSOA_FISICA
8;FLAVIA MARTINS;flaviamartins@gmail.com;47193770845;PESSOA_FISICA
9;LUCIANA;luciana@gmail.com;47193770845;PESSOA_JURIDICA
10;LUAN;luan@gmail.com;47193770845;PESSOA_FISICA
11;MATHEUS TOROK;Matheus Torok@gmail.com;47193770845;PESSOA_FISICA
12;LARA REGINA;lararegina@gmail.com;47193770845;PESSOA_FISICA
13;DANIEL AMARAL;danielamaral@gmail.com;47193770845;PESSOA_FISICA
14;PAULO SERGIO;paulosergio@gmail.com;47193770845;PESSOA_FISICA

14 REGISTROS


1;JARDIM;3854578;APTO 303;RUA FLORES;300;MARIA SILVA;UBERLÂNDIA;MINAS GERAIS
2;JARDIM PINHEIROS;09854690;CASA;PAU BRASIL;221;MARIA SILVA;SÃO PAULO;SÃO PAULO
3;GOPOÚVA;07040190;N/A;RUA CABO SANSÃO ALVES DOS SANTOS;2555;LUCAS MASTELINI;SÃO PAULO;SÃO PAULO
4;PARQUE DAS FIGUEIRAS;14065695;N/A;RUA ARTHUR FRACCADOSSO;457;FABIO GOMES;SÃO PAULO;SÃO PAULO
5;JARDIM BELA VISTA;16902210;N/A;RUA EDSON FERNANDO DO NASCIMENTO;98;MATHEUS NASCIMENTO;UBERLÂNDIA;MINAS GERAIS

5 REGISTROS


